dataset,dataset_key,citation_key,citation,anthology,languages,license
KoSBi,nayohan/KoSBi,lee-etal-2023-kosbi,"@inproceedings{lee-etal-2023-kosbi,
    title = ""{K}o{SBI}: A Dataset for MITigating Social Bias Risks Towards Safer Large Language Model Applications"",
    author = ""Lee, Hwaran  and
      Hong, Seokhee  and
      Park, Joonsuk  and
      Kim, Takyoung  and
      Kim, Gunhee  and
      Ha, Jung-woo"",
    editor = ""Sitaram, Sunayana  and
      Beigman Klebanov, Beata  and
      Williams, Jason D"",
    booktitle = ""Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 5: Industry Track)"",
    month = jul,
    year = ""2023"",
    address = ""Toronto, Canada"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2023.acl-industry.21/"",
    doi = ""10.18653/v1/2023.acl-industry.21"",
    pages = ""208--224"",
    abstract = ""Large language models (LLMs) not only learn natural text generation abilities but also social biases against different demographic groups from real-world data. This poses a critical risk when deploying LLM-based applications. Existing research and resources are not readily applicable in South Korea due to the differences in language and culture, both of which significantly affect the biases and targeted demographic groups. This liMITation requires localized social bias datasets to ensure the safe and effective deployment of LLMs. To this end, we present KosBi, a new social bias dataset of 34k pairs of contexts and sentences in Korean covering 72 demographic groups in 15 categories. We find that through filtering-based moderation, social biases in generated content can be reduced by 16.47{\%}p on average for HyperClova (30B and 82B), and GPT-3.""
}",lee-etal-2023-kosbi,KO,MIT
ARC,,allenai:arc,"@article{allenai:arc,
      author    = {Peter Clark  and Isaac Cowhey and Oren Etzioni and Tushar Khot and
                    Ashish Sabharwal and Carissa Schoenick and Oyvind Tafjord},
      title     = {Think you have Solved Question Answering? Try ARC, the AI2 Reasoning Challenge},
      journal   = {arXiv:1803.05457v1},
      year      = {2018},
}",,EN,CC BY-SA 4.0
SocialIQA,,sap-etal-2019-social,"@inproceedings{sap-etal-2019-social,
    title = ""Social {IQ}a: Commonsense Reasoning about Social Interactions"",
    author = ""Sap, Maarten  and
      Rashkin, Hannah  and
      Chen, Derek  and
      Le Bras, Ronan  and
      Choi, Yejin"",
    editor = ""Inui, Kentaro  and
      Jiang, Jing  and
      Ng, Vincent  and
      Wan, Xiaojun"",
    booktitle = ""Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP)"",
    month = nov,
    year = ""2019"",
    address = ""Hong Kong, China"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/D19-1454/"",
    doi = ""10.18653/v1/D19-1454"",
    pages = ""4463--4473"",
    abstract = ""We introduce Social IQa, the first large-scale benchmark for commonsense reasoning about social situations. Social IQa contains 38,000 multiple choice questions for probing emotional and social intelligence in a variety of everyday situations (e.g., Q: ``Jordan wanted to tell Tracy a secret, so Jordan leaned towards Tracy. Why did Jordan do this?'' A: ``Make sure no one else could hear''). Through crowdsourcing, we collect commonsense questions along with correct and incorrect answers about social interactions, using a new framework that mitigates stylistic artifacts in incorrect answers by asking workers to provide the right answer to a different but related question. Empirical results show that our benchmark is challenging for existing question-answering models based on pretrained language models, compared to human performance ({\ensuremath{>}}20{\%} gap). Notably, we further establish Social IQa as a resource for transfer learning of commonsense knowledge, achieving state-of-the-art performance on multiple commonsense reasoning tasks (Winograd Schemas, COPA).""
}",sap-etal-2019-social,EN,CC0
TriviaQA,,joshi-etal-2017-triviaqa,"@inproceedings{joshi-etal-2017-triviaqa,
    title = ""{T}rivia{QA}: A Large Scale Distantly Supervised Challenge Dataset for Reading Comprehension"",
    author = ""Joshi, Mandar  and
      Choi, Eunsol  and
      Weld, Daniel  and
      Zettlemoyer, Luke"",
    editor = ""Barzilay, Regina  and
      Kan, Min-Yen"",
    booktitle = ""Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)"",
    month = jul,
    year = ""2017"",
    address = ""Vancouver, Canada"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/P17-1147/"",
    doi = ""10.18653/v1/P17-1147"",
    pages = ""1601--1611"",
    abstract = ""We present TriviaQA, a challenging reading comprehension dataset containing over 650K question-answer-evidence triples. TriviaQA includes 95K question-answer pairs authored by trivia enthusiasts and independently gathered evidence documents, six per question on average, that provide high quality distant supervision for answering the questions. We show that, in comparison to other recently introduced large-scale datasets, TriviaQA (1) has relatively complex, compositional questions, (2) has considerable syntactic and lexical variability between questions and corresponding answer-evidence sentences, and (3) requires more cross sentence reasoning to find answers. We also present two baseline algorithms: a feature-based classifier and a state-of-the-art neural network, that performs well on SQuAD reading comprehension. Neither approach comes close to human performance (23{\%} and 40{\%} vs. 80{\%}), suggesting that TriviaQA is a challenging testbed that is worth significant future study.""
}",joshi-etal-2017-triviaqa,EN,Apache 2.0
WinoGrande,,winogrande2021sakaguchi,"@article{winogrande2021sakaguchi,
author = {Sakaguchi, Keisuke and Bras, Ronan Le and Bhagavatula, Chandra and Choi, Yejin},
title = {WinoGrande: an adversarial winograd schema challenge at scale},
year = {2021},
issue_date = {September 2021},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
volume = {64},
number = {9},
issn = {0001-0782},
url = {https://doi.org/10.1145/3474381},
doi = {10.1145/3474381},
abstract = {Commonsense reasoning remains a major challenge in AI, and yet, recent progresses on benchmarks may seem to suggest otherwise. In particular, the recent neural language models have reported above 90\% accuracy on the Winograd Schema Challenge (WSC), a commonsense benchmark originally designed to be unsolvable for statistical models that rely simply on word associations. This raises an important question---whether these models have truly acquired robust commonsense capabilities or they rely on spurious biases in the dataset that lead to an overestimation of the true capabilities of machine commonsense.To investigate this question, we introduce WinoGrande, a large-scale dataset of 44k problems, inspired by the original WSC, but adjusted to improve both the scale and the hardness of the dataset. The key steps of the dataset construction consist of (1) large-scale crowdsourcing, followed by (2) systematic bias reduction using a novel AFLITE algorithm that generalizes human-detectable word associations to machine-detectable embedding associations. Our experiments demonstrate that state-of-the-art models achieve considerably lower accuracy (59.4\%-79.1\%) on WINOGRANDE compared to humans (94\%), confirming that the high performance on the original WSC was inflated by spurious biases in the dataset.Furthermore, we report new state-of-the-art results on five related benchmarks with emphasis on their dual implications. On the one hand, they demonstrate the effectiveness of WINOGRANDE when used as a resource for transfer learning. On the other hand, the high performance on all these benchmarks suggests the extent to which spurious biases are prevalent in all such datasets, which motivates further research on algorithmic bias reduction.},
journal = {Commun. ACM},
month = aug,
pages = {99–106},
numpages = {8}
}",,EN,Apache 2.0
Natural Questions (open),,kwiatkowski-etal-2019-natural,"@article{kwiatkowski-etal-2019-natural,
    title = ""Natural Questions: A Benchmark for Question Answering Research"",
    author = ""Kwiatkowski, Tom  and
      Palomaki, Jennimaria  and
      Redfield, Olivia  and
      Collins, Michael  and
      Parikh, Ankur  and
      Alberti, Chris  and
      Epstein, Danielle  and
      Polosukhin, Illia  and
      Devlin, Jacob  and
      Lee, Kenton  and
      Toutanova, Kristina  and
      Jones, Llion  and
      Kelcey, Matthew  and
      Chang, Ming-Wei  and
      Dai, Andrew M.  and
      Uszkoreit, Jakob  and
      Le, Quoc  and
      Petrov, Slav"",
    editor = ""Lee, Lillian  and
      Johnson, Mark  and
      Roark, Brian  and
      Nenkova, Ani"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""7"",
    year = ""2019"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/Q19-1026/"",
    doi = ""10.1162/tacl_a_00276"",
    pages = ""452--466"",
    abstract = ""We present the Natural Questions corpus, a question answering data set. Questions consist of real anonymized, aggregated queries issued to the Google search engine. An annotator is presented with a question along with a Wikipedia page from the top 5 search results, and annotates a long answer (typically a paragraph) and a short answer (one or more entities) if present on the page, or marks null if no long/short answer is present. The public release consists of 307,373 training examples with single annotations; 7,830 examples with 5-way annotations for development data; and a further 7,842 examples with 5-way annotated sequestered as test data. We present experiments validating quality of the data. We also describe analysis of 25-way annotations on 302 examples, giving insights into human variability on the annotation task. We introduce robust metrics for the purposes of evaluating question answering systems; demonstrate high human upper bounds on these metrics; and establish baseline results using competitive methods drawn from related literature.""
}",,EN,Apache 2.0
NarrativeQA,,kocisky-etal-2018-narrativeqa,"@article{kocisky-etal-2018-narrativeqa,
    title = ""The {N}arrative{QA} Reading Comprehension Challenge"",
    author = ""Ko{\v{c}}isk{\'y}, Tom{\'a}{\v{s}}  and
      Schwarz, Jonathan  and
      Blunsom, Phil  and
      Dyer, Chris  and
      Hermann, Karl Moritz  and
      Melis, G{\'a}bor  and
      Grefenstette, Edward"",
    editor = ""Lee, Lillian  and
      Johnson, Mark  and
      Toutanova, Kristina  and
      Roark, Brian"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""6"",
    year = ""2018"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/Q18-1023/"",
    doi = ""10.1162/tacl_a_00023"",
    pages = ""317--328"",
    abstract = ""Reading comprehension (RC){---}in contrast to information retrieval{---}requires integrating information and reasoning about events, entities, and their relations across a full document. Question answering is conventionally used to assess RC ability, in both artificial agents and children learning to read. However, existing RC datasets and tasks are dominated by questions that can be solved by selecting answers using superficial information (e.g., local context similarity or global term frequency); they thus fail to test for the essential integrative aspect of RC. To encourage progress on deeper comprehension of language, we present a new dataset and set of tasks in which the reader must answer questions about stories by reading entire books or movie scripts. These tasks are designed so that successfully answering their questions requires understanding the underlying narrative rather than relying on shallow pattern matching or salience. We show that although humans solve the tasks easily, standard RC models struggle on the tasks presented here. We provide an analysis of the dataset and the challenges it presents.""
}",kocisky-etal-2018-narrativeqa,EN,Apache 2.0
TruthfulQA,,lin-etal-2022-truthfulqa,"@inproceedings{lin-etal-2022-truthfulqa,
    title = ""{T}ruthful{QA}: Measuring How Models Mimic Human Falsehoods"",
    author = ""Lin, Stephanie  and
      Hilton, Jacob  and
      Evans, Owain"",
    editor = ""Muresan, Smaranda  and
      Nakov, Preslav  and
      Villavicencio, Aline"",
    booktitle = ""Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)"",
    month = may,
    year = ""2022"",
    address = ""Dublin, Ireland"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.acl-long.229/"",
    doi = ""10.18653/v1/2022.acl-long.229"",
    pages = ""3214--3252"",
    abstract = ""We propose a benchmark to measure whether a language model is truthful in generating answers to questions. The benchmark comprises 817 questions that span 38 categories, including health, law, finance and politics. We crafted questions that some humans would answer falsely due to a false belief or misconception. To perform well, models must avoid generating false answers learned from imitating human texts. We tested GPT-3, GPT-Neo/J, GPT-2 and a T5-based model. The best model was truthful on 58{\%} of questions, while human performance was 94{\%}. Models generated many false answers that mimic popular misconceptions and have the potential to deceive humans. The largest models were generally the least truthful. This contrasts with other NLP tasks, where performance improves with model size. However, this result is expected if false answers are learned from the training distribution. We suggest that scaling up models alone is less promising for improving truthfulness than fine-tuning using training objectives other than imitation of text from the web.""
}",lin-etal-2022-truthfulqa,EN,Apache 2.0
Open-BookQA,,mihaylov-etal-2018-suit,"@inproceedings{mihaylov-etal-2018-suit,
    title = ""Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering"",
    author = ""Mihaylov, Todor  and
      Clark, Peter  and
      Khot, Tushar  and
      Sabharwal, Ashish"",
    editor = ""Riloff, Ellen  and
      Chiang, David  and
      Hockenmaier, Julia  and
      Tsujii, Jun{'}ichi"",
    booktitle = ""Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing"",
    month = oct # ""-"" # nov,
    year = ""2018"",
    address = ""Brussels, Belgium"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/D18-1260/"",
    doi = ""10.18653/v1/D18-1260"",
    pages = ""2381--2391"",
    abstract = ""We present a new kind of question answering dataset, OpenBookQA, modeled after open book exams for assessing human understanding of a subject. The open book that comes with our questions is a set of 1326 elementary level science facts. Roughly 6000 questions probe an understanding of these facts and their application to novel situations. This requires combining an open book fact (e.g., metals conduct electricity) with broad common knowledge (e.g., a suit of armor is made of metal) obtained from other sources. While existing QA datasets over documents or knowledge bases, being generally self-contained, focus on linguistic understanding, OpenBookQA probes a deeper understanding of both the topic{---}in the context of common knowledge{---}and the language it is expressed in. Human performance on OpenBookQA is close to 92{\%}, but many state-of-the-art pre-trained QA methods perform surprisingly poorly, worse than several simple neural baselines we develop. Our oracle experiments designed to circumvent the knowledge retrieval bottleneck demonstrate the value of both the open book and additional facts. We leave it as a challenge to solve the retrieval problem in this multi-hop setting and to close the large gap to human performance.""
}",mihaylov-etal-2018-suit,EN,Apache 2.0
MMLU,,hendrycks2021measuring,"@misc{hendrycks2021measuring,
      title={Measuring Massive Multitask Language Understanding}, 
      author={Dan Hendrycks and Collin Burns and Steven Basart and Andy Zou and Mantas Mazeika and Dawn Song and Jacob Steinhardt},
      year={2021},
      eprint={2009.03300},
      archivePrefix={arXiv},
      primaryClass={cs.CY},
      url={https://arxiv.org/abs/2009.03300}, 
}",,EN,MIT
BBQ,,parrish-etal-2022-bbq,"@inproceedings{parrish-etal-2022-bbq,
    title = ""{BBQ}: A hand-built bias benchmark for question answering"",
    author = ""Parrish, Alicia  and
      Chen, Angelica  and
      Nangia, Nikita  and
      Padmakumar, Vishakh  and
      Phang, Jason  and
      Thompson, Jana  and
      Htut, Phu Mon  and
      Bowman, Samuel"",
    editor = ""Muresan, Smaranda  and
      Nakov, Preslav  and
      Villavicencio, Aline"",
    booktitle = ""Findings of the Association for Computational Linguistics: ACL 2022"",
    month = may,
    year = ""2022"",
    address = ""Dublin, Ireland"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.findings-acl.165/"",
    doi = ""10.18653/v1/2022.findings-acl.165"",
    pages = ""2086--2105"",
    abstract = ""It is well documented that NLP models learn social biases, but little work has been done on how these biases manifest in model outputs for applied tasks like question answering (QA). We introduce the Bias Benchmark for QA (BBQ), a dataset of question-sets constructed by the authors that highlight attested social biases against people belonging to protected classes along nine social dimensions relevant for U.S. English-speaking contexts. Our task evaluate model responses at two levels: (i) given an under-informative context, we test how strongly responses reflect social biases, and (ii) given an adequately informative context, we test whether the model{'}s biases override a correct answer choice. We find that models often rely on stereotypes when the context is under-informative, meaning the model{'}s outputs consistently reproduce harmful biases in this setting. Though models are more accurate when the context provides an informative answer, they still rely on stereotypes and average up to 3.4 percentage points higher accuracy when the correct answer aligns with a social bias than when it conflicts, with this difference widening to over 5 points on examples targeting gender for most models tested.""
}",parrish-etal-2022-bbq,EN,cc-by-4.0
PIQA,,bist2020piqa,"@inproceedings{bist2020piqa,
    author = {Yonatan Bisk and Rowan Zellers and
            Ronan Le Bras and Jianfeng Gao
            and Yejin Choi},
    title = {PIQA: Reasoning about Physical Commonsense in
           Natural Language},
    booktitle = {Thirty-Fourth AAAI Conference on
               Artificial Intelligence},
    year = {2020},
}",,EN,Apache 2.0
